,matnr,zzprncode,zzibrnd,mtart,matkl,TherapeuticClass,PrincipalName,mstae,mstde,mstav,mstdv,zzdwrx,spart,vtweg,dwerk,mvgr1,mvgr2,mvgr3,mvgr4,mvgr5,tragr,vmsta,vmstd,MaterialSalesOrganisation,prodh,mtpos,OldMaterialCode,GovernmentMaterialCode,taxClassification,Description,Language,DefaultMaterialDescription,DefaultMaterialLanguage,unitOfMeasurement,itemRegistrationNumber,GenericMaterialName,WarehouseStorageCondition,aland,taxm1,taxm2,taxm3,taxm4,taxm5,taxm6,taxm7,taxm8,taxm9,taxim,tatyp,vtext,idnlf,prat1,prat2,prat3,prat4,prat5,prat6,prat7,prat8,prat9,zzibrnd_new,TherapeuticClass_new,PrincipalName_new,soup
10,23073133,101286.0,NIMOTOP,ZF03,ZPE,Calcium antagonists w/ cerebral activity,BAYER CO (M) SDN BHD (PCL a/c),LR,20250101,LR,20250101,Y,10,10,2010,,,ZNC,2SD,,ZP01,,0,2001,10128600BAY8BU2000,NORM,88024,,,NIMOTOPTABS30MG30'S,E,NIMOTOPTABS30MG30'S,E,EA,MAL19940001A,NIMODIPINE,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,82186841,,,,,,,,,,['NIMOTOP'],['Calcium antagonists w/ cerebral activity'],['BAYER CO (M) SDN BHD (PCL a/c)'],nimotop calcium antagonists w/ cerebral activitybayer co (m) sdn bhd (pcl a/c) nimotoptabs30mg30's
11,21041004,101229.0,JOHNSON'S LOTION SOA,ZF01,ZPC,Other dermatological preparations,JOHNSON & JOHNSON SDN BHD (PCL,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101229WBAB01006001,NORM,152000357801,,,JOHNSON'S LOTION SOAP 100GMX3,E,JOHNSON'S LOTION SOAP 100GMX3,E,EA,NOT REQUIRED,JOHNSON'S LOTION SOA P 100G MX3,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,4801010561309,,,,,,,,,,"[""JOHNSON'S LOTION SOA""]",['Other dermatological preparations'],"['JOHNSON ', 'JOHNSON SDN BHD (PCL']",johnson's lotion soa other dermatological preparationsjohnson  johnson sdn bhd (pcl johnson's lotion soap 100gmx3
12,23056899,101293.0,MAGNESIUM AMINO ACID,ZF03,ZCH,Multivitamins with minerals,CAMBERT (M) SDN BHD  (PCL a/c),LR,20250101,LR,20250101,Y,20,10,2010,KRL,,ZNC,2GD,,ZP01,,0,2001,101293VKOR01001022,NORM,119KRLVIT1227,,,MAGNESIUM AMINO ACIDCHELATE 75060S,E,MAGNESIUM AMINO ACIDCHELATE 75060S,E,EA,MAL06091554XC,MAGNESIUM AMINO ACID CHELATE 750 60S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['MAGNESIUM AMINO ACID'],['Multivitamins with minerals'],['CAMBERT (M) SDN BHD  (PCL a/c)'],magnesium amino acid multivitamins with mineralscambert (m) sdn bhd  (pcl a/c) magnesium amino acidchelate 75060s
13,23048504,101261.0,LAMISIL,ZF03,ZPE,Systemic agents for fungal infections,NOVARTIS CORPORATION (M) SDN,LR,20250101,Z7,20250101,Y,10,10,2010,,,ZNC,2SD,,ZP01,,0,2001,101261GENMED009001,NORM,052153795,,,LAMISILTAB250MG3X14'S,E,LAMISILTAB250MG3X14'S,E,EA,MAL20000273AC,TERBINAFINE HYDROCHLORIDE,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,153795,,,,,,,,,,['LAMISIL'],['Systemic agents for fungal infections'],['NOVARTIS CORPORATION (M) SDN'],lamisil systemic agents for fungal infectionsnovartis corporation (m) sdn lamisiltab250mg3x14's
14,23046994,101236.0,WELLBUTRIN SR,ZF03,ZPE,"Antidepressants, all others",GLAXOSMITHKLINE PHARMACEUTICAL_,LR,20230629,LR,20230629,Y,10,10,2010,,,ZNC,2SD,300.0,ZP01,Z7,20140620,2001,101236CTR NSWELWEL,NORM,02181490S,,,WELLBUTRIN SR150MG60S,E,WELLBUTRIN SR150MG60S,E,EA,MAL20081803AR,WELLBUTRIN SR        150MG  60S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['WELLBUTRIN SR'],"['Antidepressants', 'all others']",['GLAXOSMITHKLINE PHARMACEUTICAL_'],wellbutrin sr antidepressants all othersglaxosmithkline pharmaceutical_ wellbutrin sr150mg60s
15,23048639,101261.0,ZADITEN SYRUP,ZF03,ZPE,Systemic antihistamines,NOVARTIS CORPORATION (M) SDN,LR,20250101,Z7,20250101,Y,10,10,2010,,,ZNC,2SD,,ZP01,,0,2001,101261GENMED009001,NORM,052711585,,,ZADITEN SYRUPBOT1MG/5ML200ML,E,ZADITEN SYRUPBOT1MG/5ML200ML,E,EA,MAL05072025AC,KETOTIFEN HYDROGEN FUMARATE,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,711585,,,,,,,,,,['ZADITEN SYRUP'],['Systemic antihistamines'],['NOVARTIS CORPORATION (M) SDN'],zaditen syrup systemic antihistaminesnovartis corporation (m) sdn zaditen syrupbot1mg/5ml200ml
16,23046076,101228.0,ZOCOR,ZF03,ZPE,Statins (HMG-CoA reductase inhibitors),MERCK SHARP & DOHME (I.A),LR,20260101,LR,20260101,Y,10,10,2010,,4.0,ZHP,2SD,,ZP05,,0,2001,101228000CVMZOCZ10,NORM,01200082,,,ZOCORTABS10MG120'S,E,ZOCORTABS10MG120'S,E,EA,MAL19921415ARS,SIMVASTATIN,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,106799,,,,,,,,,,['ZOCOR'],['Statins (HMG-CoA reductase inhibitors)'],"['MERCK SHARP ', 'DOHME (I.A)']",zocor statins (hmg-coa reductase inhibitors)merck sharp  dohme (i.a) zocortabs10mg120's
17,21045987,101361.0,TUBINETTE 20M ROLL,ZF01,ZMC,All other wound healing agents,MOLNLYCKE HEALTHCARE,LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101361000CWC002001,NORM,2232416,,,TUBINETTE 20M ROLL/01,E,TUBINETTE 20M ROLL/01,E,EA,NOT REQUIRED,TUBINETTE 20M ROLL       /01,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TUBINETTE 20M ROLL'],['All other wound healing agents'],['MOLNLYCKE HEALTHCARE'],tubinette 20m roll all other wound healing agentsmolnlycke healthcare tubinette 20m roll/01
18,23063881,101365.0,UX II SEARCH -SED ST,ZF03,ZMD,All other diagnostic tests,SYSMEX (M) SDN BHD (PCL a/c),LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101365URIN01002003,NORM,227BD563893,,,UX II SEARCH -SED ST29MLX 1,E,UX II SEARCH -SED ST29MLX 1,E,EA,NOT REQUIRED,UX II SEARCH -SED ST 29ML X 1,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,BD563893,,,,,,,,,,['UX II SEARCH -SED ST'],['All other diagnostic tests'],['SYSMEX (M) SDN BHD (PCL a/c)'],ux ii search -sed st all other diagnostic testssysmex (m) sdn bhd (pcl a/c) ux ii search -sed st29mlx 1
19,23059571,101338.0,URIAGE DEPIDERM SOIN,ZF03,ZCS,"Emollients, protectives",LABORATOIRES DERMATO D'URIAGE,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101338URIAGE007014,NORM,19415000299,,,URIAGE DEPIDERM SOININTENSIF F30ML,E,URIAGE DEPIDERM SOININTENSIF F30ML,E,EA,NOT101000404K,URIAGE DEPIDERM SOIN INTENSIF F  30ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['URIAGE DEPIDERM SOIN'],"['Emollients', 'protectives']","[""LABORATOIRES DERMATO D'URIAGE""]",uriage depiderm soin emollients protectiveslaboratoires dermato d'uriage uriage depiderm soinintensif f30ml
20,23059576,101338.0,URIAGE CU-ZN+GEL NET,ZF03,ZCS,"Emollients, protectives",LABORATOIRES DERMATO D'URIAGE,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101338URIAGE001004,NORM,19415000323,,,URIAGE CU-ZN+GEL NETTOYANTF 200ML(NL),E,URIAGE CU-ZN+GEL NETTOYANTF 200ML(NL),E,EA,NOT0610566KE,URIAGE CU-ZN+GEL NETTOYANT F 200ML(NL),AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['URIAGE CU-ZN+GEL NET'],"['Emollients', 'protectives']","[""LABORATOIRES DERMATO D'URIAGE""]",uriage cu-zn+gel net emollients protectiveslaboratoires dermato d'uriage uriage cu-zn+gel nettoyantf 200ml(nl)
21,23059577,101338.0,URIAGE L'EAU DEMAQUI,ZF03,ZCS,"Emollients, protectives",LABORATOIRES DERMATO D'URIAGE,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101338URIAGE003020,NORM,19415000328,,,URIAGE L'EAU DEMAQUILLANTEPNM 250ML,E,URIAGE L'EAU DEMAQUILLANTEPNM 250ML,E,EA,NOT07040296KE,URIAGE L'EAU DEMAQUILLANTE PNM 250ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,"[""URIAGE L'EAU DEMAQUI""]","['Emollients', 'protectives']","[""LABORATOIRES DERMATO D'URIAGE""]",uriage l'eau demaqui emollients protectiveslaboratoires dermato d'uriage uriage l'eau demaquillantepnm 250ml
22,21042279,101340.0,URGOSOFT 4CMX1M,ZF01,ZWM,All other wound healing agents,HCP HEALTHCARE ASIA PTE.LTD.,LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101340000HCA002011,NORM,197696906,,,URGOSOFT 4CMX1M1'S,E,URGOSOFT 4CMX1M1'S,E,EA,NOT REQUIRED,URGOSOFT 4CMX1M 1'S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['URGOSOFT 4CMX1M'],['All other wound healing agents'],['HCP HEALTHCARE ASIA PTE.LTD.'],urgosoft 4cmx1m all other wound healing agentshcp healthcare asia pte.ltd. urgosoft 4cmx1m1's
23,23064243,101237.0,PREGNANCY FORMULA,ZF03,ZCH,Multivitamins w/ Minerals - Prenatal,BLACKMORES (MALAYSIA) SDN BHD,LR,20250101,LR,20250101,Y,20,10,2010,STD,,ZNC,2GD,,ZP01,,0,2001,101237AVAOO1003001,NORM,23096,,,PREGNANCY FORMULACAP60'S,E,PREGNANCY FORMULACAP60'S,E,EA,MAL06011733XCR,PREGNANCY FORMULA   CAP          60'S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,24825,,,,,,,,,,['PREGNANCY FORMULA'],['Multivitamins w/ Minerals - Prenatal'],['BLACKMORES (MALAYSIA) SDN BHD'],pregnancy formula multivitamins w/ minerals - prenatalblackmores (malaysia) sdn bhd pregnancy formulacap60's
24,21039838,101272.0,SYOSS ANTI DANDRUFF,ZF01,ZPC,All other non-therapeutic products,HENKEL (M) SDN BHD - SYOSS,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101272HEN001001001,NORM,0671650804,,,SYOSS ANTI DANDRUFFCTRL C/TIONER190ML,E,SYOSS ANTI DANDRUFFCTRL C/TIONER190ML,E,EA,NOT130804470K,SYOSS AD CTRL CD 190ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['SYOSS ANTI DANDRUFF'],['All other non-therapeutic products'],['HENKEL (M) SDN BHD - SYOSS'],syoss anti dandruff all other non-therapeutic productshenkel (m) sdn bhd - syoss syoss anti dandruffctrl c/tioner190ml
25,23047160,101236.0,STIEVA-A CREAM 0.05%,ZF03,ZPE,Topical anti-acne preparations,GLAXOSMITHKLINE PHARMACEUTICAL_,LR,20250101,LR,20250101,Y,10,10,2010,,,ZNC,2SD,,ZP01,Z7,20140620,2001,101236TRET01001001,NORM,02184191,STF,,STIEVA-A CREAM 0.05%25G,E,STIEVA-A CREAM 0.05%25G,E,EA,MAL19910098A,STIEVA-A CREAM 0.05% 25G,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['STIEVA-A CREAM 0.05%'],['Topical anti-acne preparations'],['GLAXOSMITHKLINE PHARMACEUTICAL_'],stieva-a cream 0.05% topical anti-acne preparationsglaxosmithkline pharmaceutical_ stieva-a cream 0.05%25g
26,23054986,101271.0,STIMULEN DIABETIC S/,ZF03,ZMD,All other wound healing agents,SOZA HEALTHCARE SDN BHD,LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101271WOUNDC001001,NORM,066ST9556,,,STIMULEN DIABETIC S/CARE LOTION 2OZ 60G,E,STIMULEN DIABETIC S/CARE LOTION 2OZ 60G,E,EA,NOT REQUIRED,STIMULEN DIABETIC S/CARE LOTION 2OZ 60G,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['STIMULEN DIABETIC S/'],['All other wound healing agents'],['SOZA HEALTHCARE SDN BHD'],stimulen diabetic s/ all other wound healing agentssoza healthcare sdn bhd stimulen diabetic s/care lotion 2oz 60g
27,23059935,101341.0,SUNSENSE Anti-Ageing,ZF03,ZPC,"Emollients, protectives",EGO PHARMA MALAYSIA SDN BHD,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101341000EGO0SSAAF,NORM,198122.100,,,SUNSENSE Anti-AgeingFaceLotion100ML,E,SUNSENSE Anti-AgeingFaceLotion100ML,E,EA,NOT120904655K,SUNSENSE Anti-Ageing Face Lotion 100ML,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,10293,,,,,,,,,,['SUNSENSE Anti-Ageing'],"['Emollients', 'protectives']",['EGO PHARMA MALAYSIA SDN BHD'],sunsense anti-ageing emollients protectivesego pharma malaysia sdn bhd sunsense anti-ageingfacelotion100ml
28,23072076,101255.0,SUPA FORMULA 3 PLUS,ZF03,ZCH,Multivitamins w/ Minerals - Geriatric,SWISS BIO PHARMA SDN BHD  (PCL,LR,20250101,LR,20250101,Y,20,10,2010,,,ZNC,2GD,,ZP01,Z7,20150420,2001,101255ANUM01011001,NORM,45106,,,SUPA FORMULA 3 PLUS(NEW)30'S,E,SUPA FORMULA 3 PLUS(NEW)30'S,E,EA,MAL 06051347XCR,SUPA FORMULA 3 PLUS (NEW)          30'S,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['SUPA FORMULA 3 PLUS'],['Multivitamins w/ Minerals - Geriatric'],['SWISS BIO PHARMA SDN BHD  (PCL'],supa formula 3 plus multivitamins w/ minerals - geriatricswiss bio pharma sdn bhd  (pcl supa formula 3 plus(new)30's
29,21037530,101223.0,TECNIS ACRYL ZA9003,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,Z93,,ZNC,2GD,,ZP01,,0,2001,101223000IOL003002,NORM,009ZA9003265,,,TECNIS ACRYL ZA9003+26.5,E,TECNIS ACRYL ZA9003+26.5,E,EA,NOT REQUIRED,TECNIS ACRYL ZA9003 +26.5,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS ACRYL ZA9003'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis acryl za9003 cataract and anticataractogenic preps.abbott medical optics tecnis acryl za9003+26.5
30,21037833,101223.0,TECNIS ZMA 07.0D MF,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,ZMA,,ZNC,2GD,,ZP01,,0,2001,101223000IOL004004,NORM,009ZMA00070,,,TECNIS ZMA 07.0D MFACRYLI,E,TECNIS ZMA 07.0D MFACRYLI,E,EA,NOT REQUIRED,TECNIS ZMA 07.0D MF ACRYLI,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS ZMA 07.0D MF'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis zma 07.0d mf cataract and anticataractogenic preps.abbott medical optics tecnis zma 07.0d mfacryli
31,21037870,101223.0,TECNIS ZMA 25.5D MF,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,ZMA,,ZNC,2GD,,ZP01,,0,2001,101223000IOL004004,NORM,009ZMA00255,,,TECNIS ZMA 25.5D MFACRYLI,E,TECNIS ZMA 25.5D MFACRYLI,E,EA,NOT REQUIRED,TECNIS ZMA 25.5D MF ACRYLI,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS ZMA 25.5D MF'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis zma 25.5d mf cataract and anticataractogenic preps.abbott medical optics tecnis zma 25.5d mfacryli
32,21037735,101223.0,TECNIS TORIC 1-PIECE,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101223000IOL006001,NORM,009ZCT3000170,,,TECNIS TORIC 1-PIECECYL3.0017.0,E,TECNIS TORIC 1-PIECECYL3.0017.0,E,EA,NOT REQUIRED,TECNIS TORIC 1-PIECE CYL3.00 17.0,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS TORIC 1-PIECE'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis toric 1-piece cataract and anticataractogenic preps.abbott medical optics tecnis toric 1-piececyl3.0017.0
33,21037754,101223.0,TECNIS TORIC 1-PIECE,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,,,ZNC,2GD,,ZP01,,0,2001,101223000IOL006001,NORM,009ZCT3000265,,,TECNIS TORIC 1-PIECECYL3.0026.5,E,TECNIS TORIC 1-PIECECYL3.0026.5,E,EA,NOT REQUIRED,TECNIS TORIC 1-PIECE CYL3.00 26.5,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS TORIC 1-PIECE'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis toric 1-piece cataract and anticataractogenic preps.abbott medical optics tecnis toric 1-piececyl3.0026.5
34,21037922,101223.0,TECNIS MF 1PCS 6.0MM,ZF01,ZMD,Cataract and anticataractogenic preps.,ABBOTT MEDICAL OPTICS,LR,20250101,LR,20250101,Y,30,10,2010,ZMB,,ZNC,2GD,,ZP01,,0,2001,101223000IOLMULMF1,NORM,009ZMB00I0255,,,TECNIS MF 1PCS 6.0MM25.5D,E,TECNIS MF 1PCS 6.0MM25.5D,E,EA,NOT REQUIRED,TECNIS MF 1PCS 6.0MM25.5D,AC,MY,1.0,,,,,,,,,,MWST,Product : Full Tax,,,,,,,,,,,['TECNIS MF 1PCS 6.0MM'],['Cataract and anticataractogenic preps.'],['ABBOTT MEDICAL OPTICS'],tecnis mf 1pcs 6.0mm cataract and anticataractogenic preps.abbott medical optics tecnis mf 1pcs 6.0mm25.5d
