"customersoldto","customershipto","salesorg","salesrepid","salesreptype","principalnumber","countrycode","csteam","principalgroup","principalsalesrep","soldtoincluded"
"0030070570","0070090977","2001","bcgai","internal","0000102729","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000103805","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000105141","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","bcgai","internal","0000105571","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","benedicts","internal","0000104947","MY","COMSOLMY","","E101",True
"0030070570","0070090977","2001","benedicts","internal","0000104947","MY","COMSOLMY","","E109",True
"0030070570","0070090977","2001","benedicts","internal","0000104947","MY","COMSOLMY","","E803",True
"0030070570","0070090977","2001","brchong","internal","0000101788","MY","COMSOLMY","","E605",True
"0030070570","0070090977","2001","byew","internal","0000101788","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","byew","internal","0000102226","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","charmaine228","external","0000104255","MY","","","VBE 02",True
"0030070570","0070090977","2001","charmaine228","external","0000104255","MY","","","VBE 03",True
"0030070570","0070090977","2001","charmaine228","external","0000104255","MY","","","VBE 04",True
"0030070570","0070090977","2001","chquay","internal","0000100187","MY","COMSOLMY","","E141",True
"0030070570","0070090977","2001","chquay","internal","0000100187","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","chquay","internal","0000100226","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","chquay","internal","0000100289","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","chquay","internal","0000101808","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","chquay","internal","0000101827","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","chquay","internal","0000101989","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","chquay","internal","0000102200","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","chquay","internal","0000102200","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","jsteoh","internal","0000102200","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","jsteoh","internal","0000102201","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","jsteoh","internal","0000102226","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","jsteoh","internal","0000102233","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","jsteoh","internal","0000102475","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","jsteoh","internal","0000102696","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","jsteoh","internal","0000102729","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","jsteoh","internal","0000103805","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","jsteoh","internal","0000104174","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","jsteoh","internal","0000104174","MY","COMSOLMY","","E9V2",True
"0030070570","0070090977","2001","jsteoh","internal","0000104344","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","jsteoh","internal","0000104483","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","jsteoh","internal","0000104667","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","jsteoh","internal","0000104808","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","jsteoh","internal","0000104947","MY","COMSOLMY","","E101",True
"0030070570","0070090977","2001","jsteoh","internal","0000104947","MY","COMSOLMY","","E109",True
"0030070570","0070090977","2001","jsteoh","internal","0000104947","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","jsteoh","internal","0000104947","MY","COMSOLMY","","E803",True
"0030070570","0070090977","2001","jsteoh","internal","0000104947","MY","COMSOLMY","","NETH",True
"0030070570","0070090977","2001","jsteoh","internal","0000105141","MY","COMSOLMY","","E151",True
"0030070570","0070090977","2001","jsteoh","internal","0000105141","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","jsteoh","internal","0000105221","MY","COMSOLMY","","LOR2",True
"0030070570","0070090977","2001","jsteoh","internal","0000105351","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","jsteoh","internal","0000105571","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000100187","MY","COMSOLMY","","E141",True
"0030070570","0070090977","2001","khwang","internal","0000100187","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","khwang","internal","0000100226","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","khwang","internal","0000100268","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","khwang","internal","0000100289","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000101788","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","khwang","internal","0000101788","MY","COMSOLMY","","E605",True
"0030070570","0070090977","2001","khwang","internal","0000101808","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","khwang","internal","0000101827","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","khwang","internal","0000101989","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000102200","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","khwang","internal","0000102200","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","khwang","internal","0000102201","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","khwang","internal","0000102226","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","khwang","internal","0000102233","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000102475","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","khwang","internal","0000102696","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000102729","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000103805","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000104174","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","khwang","internal","0000104174","MY","COMSOLMY","","E9V2",True
"0030070570","0070090977","2001","khwang","internal","0000104344","MY","COMSOLMY","","E903",True
"0030070570","0070090977","2001","khwang","internal","0000104483","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","khwang","internal","0000104667","MY","COMSOLMY","","E401",True
"0030070570","0070090977","2001","khwang","internal","0000104808","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","khwang","internal","0000104947","MY","COMSOLMY","","E101",True
"0030070570","0070090977","2001","khwang","internal","0000104947","MY","COMSOLMY","","E109",True
"0030070570","0070090977","2001","khwang","internal","0000104947","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","khwang","internal","0000104947","MY","COMSOLMY","","E803",True
"0030070570","0070090977","2001","khwang","internal","0000104947","MY","COMSOLMY","","NETH",True
"0030070570","0070090977","2001","khwang","internal","0000105141","MY","COMSOLMY","","E151",True
"0030070570","0070090977","2001","khwang","internal","0000105141","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","khwang","internal","0000105221","MY","COMSOLMY","","LOR2",True
"0030070570","0070090977","2001","khwang","internal","0000105351","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","khwang","internal","0000105571","MY","COMSOLMY","","E707",True
"0030070570","0070090977","2001","kogilan208","external","0000104255","MY","","","VBE 02",True
"0030070570","0070090977","2001","kogilan208","external","0000104255","MY","","","VBE 03",True
"0030070570","0070090977","2001","kogilan208","external","0000104255","MY","","","VBE 04",True
"0030070570","0070090977","2001","kskhoo","internal","0000101788","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","kskhoo","internal","0000102226","MY","COMSOLMY","","E003",True
"0030070570","0070090977","2001","ktkang","internal","0000100187","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","ktkang","internal","0000101827","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","ktkang","internal","0000102200","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","ktkang","internal","0000102201","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","ktkang","internal","0000104174","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","kyap","internal","0000100187","MY","COMSOLMY","","E141",True
"0030070570","0070090977","2001","mayhan","internal","0000104947","MY","COMSOLMY","","E101",True
"0030070570","0070090977","2001","mcting","internal","0000100187","MY","COMSOLMY","","E141",True
"0030070570","0070090977","2001","mcting","internal","0000100187","MY","COMSOLMY","","E507",True
"0030070570","0070090977","2001","mcting","internal","0000100226","MY","COMSOLMY","","E202",True
"0030070570","0070090977","2001","mcting","internal","0000100268","MY","COMSOLMY","","NTRD",True
"0030070570","0070090977","2001","myaz-eetningku","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-elainetan1","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-elang","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-eliselooi","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ellistan1","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-emilykiu","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-emilywong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ericang","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ericcaleong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ericlim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-eshuenleow","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-eslee","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-estherho","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-eugenethee","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-eujinlim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-euvenyeo","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-evelynchui","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-evelyntan","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-fanyeegoh","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-farahwm","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-fflim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-fionafoo","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-fionayong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-florenceho","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-foopunyip","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-guccatay","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-haeleytee","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ivan","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ivanho1","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jackmoh","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jadeyeoh","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jamesontan","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jamesonwong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-janicekhor","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jaredho","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jasmimm","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jasontan","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jazzleong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jeanfoo","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jecelynphua","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jenarthananv","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jenelltam","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jeniceteoh","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jessicaho1","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jessicalooi","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jessieleow","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jessielim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jessiewong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jiahuiwang4","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-joannayam1","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-joannekoay","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jocelynho","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-johnchea","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-johnny","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jueantan","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-junhuahe","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-jwwong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-karlaihor","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kashmitasp","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-katherinekhong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kcwee","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kelvinlim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kennethching","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-khlim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kimyeelee","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kokkonglaw","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-kristinwong","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-krystallim","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-ksyeo","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-leechinkok","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-leechooc","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-lenzjaw","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-lgteoh","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-linaliew","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-liyanaaa","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","myaz-llng","external","0000100246","MY","","","ALLREP",True
"0030070570","0070090977","2001","mybayer-alantham","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-alantham","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-alantham","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-alantham","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-alvintai","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-alvintai","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-alvintai","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-alvintai","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-angkimbee","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-angkimbee","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-bctew","external","0000100276","MY","","","SMSM",True
"0030070570","0070090977","2001","mybayer-beeholoo","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-beeholoo","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-bryantang","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-bryantang","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-bryantang","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-bryantang","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-carolinetang","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-carolinetang","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-carolinetang","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-carolinetang","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-catherine","external","0000100276","MY","","","SMSM",True
"0030070570","0070090977","2001","mybayer-chelseaee","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-chelseaee","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-chelseaee","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-chelseaee","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-chengyee","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-chengyee","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-chengyee","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-chengyee","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-choongmeiyee","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-choongmeiyee","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-chowhinyip","external","0000100276","MY","","","SMSM",True
"0030070570","0070090977","2001","mybayer-cynthia","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-cynthia","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-daphne","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-daphne","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-ellyzeng","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-ellyzeng","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-ellyzeng","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-ellyzeng","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-ernestchong","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-ernestchong","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-ernestchong","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-ernestchong","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-esther","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-esther","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-esther","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-esther","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-frankechung","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-frankechung","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-garylee","external","0000100276","MY","","","RDSM",True
"0030070570","0070090977","2001","mybayer-helenleong","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-helenleong","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-helenleong","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-helenleong","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-ireneooi","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-ireneooi","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-janechew","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-janechew","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-janlim","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-janlim","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-janlim","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-janlim","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","RDSM",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","SMSM",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-jchew","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-jieziliew","external","0000100276","MY","","","GMM1",True
"0030070570","0070090977","2001","mybayer-jieziliew","external","0000100276","MY","","","GMM2",True
"0030070570","0070090977","2001","mybayer-jieziliew","external","0000100276","MY","","","GMM3",True
"0030070570","0070090977","2001","mybayer-jieziliew","external","0000100276","MY","","","GMM4",True
"0030070570","0070090977","2001","mybayer-suzeneker","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-suzeneker","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-swleong","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-swleong","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-weesoon","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-weesoon","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-williamwo","external","0000100276","MY","","","RDSM",True
"0030070570","0070090977","2001","mybayer-xynnwee","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-xynnwee","external","0000100276","MY","","","WHM2",True
"0030070570","0070090977","2001","mybayer-yuejun","external","0000100276","MY","","","SMSM",True
"0030070570","0070090977","2001","mybayer-yvoannelim","external","0000100276","MY","","","WHM1",True
"0030070570","0070090977","2001","mybayer-yvoannelim","external","0000100276","MY","","","WHM2",True
