"zzprncode","PrincipalName","matnr","Description","TherapeuticClass","zzibrnd","zzdwrx","vmsta","vmstd","mstav","mstdv","MaterialSalesOrganisation","vtweg","mtart","mvgr4","mvgr2","prodh","GovernmentMaterialCode","OldMaterialCode","DefaultMaterialDescription","vtext","unitOfMeasurement","itemRegistrationNumber","Language","taxm1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237956","LPS ALL POLY TIB GRNSZ5X14MM","Non-IMS classified","LPS ALL POLY TIB GRN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599600514","LPS ALL POLY TIB GRNSZ5X14MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237957","LPS ALL POLY TIB GRNSZ5X17MM","Non-IMS classified","LPS ALL POLY TIB GRN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599600517","LPS ALL POLY TIB GRNSZ5X17MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237958","LPS ALL POLY TIB GRNSZ6X10MM","Non-IMS classified","LPS ALL POLY TIB GRN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599600610","LPS ALL POLY TIB GRNSZ6X10MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237959","LPS ALL POLY TIB GRNSZ6X12MM","Non-IMS classified","LPS ALL POLY TIB GRN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599600612","LPS ALL POLY TIB GRNSZ6X12MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023237972","LPS OPT FEM D-L","Non-IMS classified","LPS OPT FEM D-L","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599601451","LPS OPT FEM D-L","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238026","NGK LPS ART SURF SIZE EF 23MM","Non-IMS classified","NGK LPS ART SURF SIZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599604023","NGK LPS ART SURF SIZE EF 23MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238027","NGK LPS ART SURF SIZE CD 5-6","Non-IMS classified","NGK LPS ART SURF SIZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599604109","NGK LPS ART SURF SIZE CD 5-6","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238028","NGK LPS ART SURF SIZE CD 5-6","Non-IMS classified","NGK LPS ART SURF SIZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599604110","NGK LPS ART SURF SIZE CD 5-6","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238029","NGK LPS ART SURF SIZE CD 5-6","Non-IMS classified","NGK LPS ART SURF SIZ","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM00599604112","NGK LPS ART SURF SIZE CD 5-6","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240010","Oxford Alpha Bearing, Small Left9MM","Non-IMS classified","Oxford Alpha Bearing","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM159546","Oxford Alpha Bearing, Small Left9MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240011","Oxford Alpha Bearing, Medium Left3MM","Non-IMS classified","Oxford Alpha Bearing","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM159547","Oxford Alpha Bearing, Medium Left3MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240012","Oxford Alpha Bearing, Medium Left4MM","Non-IMS classified","Oxford Alpha Bearing","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM159548","Oxford Alpha Bearing, Medium Left4MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240229","VANG CR TIB BRG 10X87/91MM","Non-IMS classified","VANG CR TIB BRG 10X8","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM183480","VANG CR TIB BRG 10X87/91MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240281","VANG PS TIB BRG 18X79/83","Non-IMS classified","VANG PS TIB BRG 18X7","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM183668","VANG PS TIB BRG 18X79/83","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240282","VANG PS TIB BRG 20X79/83","Non-IMS classified","VANG PS TIB BRG 20X7","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID020000","","ZM183670","VANG PS TIB BRG 20X79/83","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023240604","135D 15.0MM CLS STEMUNCEM","Non-IMS classified","135D 15.0MM CLS STEM","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM290039150","135D 15.0MM CLS STEMUNCEM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238074","TRILOGY E.R.L. 20D 60X28MM","Non-IMS classified","TRILOGY E.R.L. 20D 6","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00612006028","TRILOGY E.R.L. 20D 60X28MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238075","TRILOGY E.R.L. 20D 62X28MM","Non-IMS classified","TRILOGY E.R.L. 20D 6","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00612006228","TRILOGY E.R.L. 20D 62X28MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238076","TRILOGY E.R.L. 20D 64X28MM","Non-IMS classified","TRILOGY E.R.L. 20D 6","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00612006428","TRILOGY E.R.L. 20D 64X28MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238077","TRILOGY E.R.L. 20D 66X28MM","Non-IMS classified","TRILOGY E.R.L. 20D 6","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00612006628","TRILOGY E.R.L. 20D 66X28MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238078","TRILOGY E.R.L. 20D 68X28MM","Non-IMS classified","TRILOGY E.R.L. 20D 6","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00612006828","TRILOGY E.R.L. 20D 68X28MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238079","TRILOGY E.R.L. 20D 70X28MM","Non-IMS classified","TRILOGY E.R.L. 20D 7","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00612007028","TRILOGY E.R.L. 20D 70X28MM","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238160","TRILOGY 6.5X20 CORTBONE SCREW","Non-IMS classified","TRILOGY 6.5X20 CORT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00625006520","TRILOGY 6.5X20 CORTBONE SCREW","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238161","TRILOGY 6.5X25 CORTBONE SCREW","Non-IMS classified","TRILOGY 6.5X25 CORT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00625006525","TRILOGY 6.5X25 CORTBONE SCREW","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238162","TRILOGY 6.5X30 CORTBONE SCREW","Non-IMS classified","TRILOGY 6.5X30 CORT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00625006530","TRILOGY 6.5X30 CORTBONE SCREW","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238163","TRILOGY 6.5X35 CORTBONE SCREW","Non-IMS classified","TRILOGY 6.5X35 CORT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00625006535","TRILOGY 6.5X35 CORTBONE SCREW","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238164","TRILOGY 6.5X40 CORTBONE SCREW","Non-IMS classified","TRILOGY 6.5X40 CORT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00625006540","TRILOGY 6.5X40 CORTBONE SCREW","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238200","10D 32X60MM LONGEVITY LINER","Non-IMS classified","10D 32X60MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631006032","10D 32X60MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238201","10D 28X62MM LONGEVITY LINER","Non-IMS classified","10D 28X62MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631006228","10D 28X62MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238202","10D 32X62MM LONGEVITY LINER","Non-IMS classified","10D 32X62MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631006232","10D 32X62MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238204","10D 32X64MM LONGEVITY LINER","Non-IMS classified","10D 32X64MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631006432","10D 32X64MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238205","10D 28X66MM LONGEVITY LINER","Non-IMS classified","10D 28X66MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631006628","10D 28X66MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238208","10D 32X68MM LONGEVITY LINER","Non-IMS classified","10D 32X68MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631006832","10D 32X68MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238209","10D 28X70MM LONGEVITY LINER","Non-IMS classified","10D 28X70MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631007028","10D 28X70MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238210","10D 32X70MM LONGEVITY LINER","Non-IMS classified","10D 32X70MM LONGEVIT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00631007032","10D 32X70MM LONGEVITY LINER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238425","XLPE REV LNR 10DEG 76/78/80X32","Non-IMS classified","XLPE REV LNR 10DEG 7","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00711007632","XLPE REV LNR 10DEG 76/78/80X32","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238426","XLPE REV LNR 10DEG 76/78/80X36","Non-IMS classified","XLPE REV LNR 10DEG 7","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00711007636","XLPE REV LNR 10DEG 76/78/80X36","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238427","XLPE REV LNR 10DEG 76/78/80X40","Non-IMS classified","XLPE REV LNR 10DEG 7","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00711007640","XLPE REV LNR 10DEG 76/78/80X40","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238428","SHORT CAGE RT 56/58/60X48","Non-IMS classified","SHORT CAGE RT 56/58/","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00712305648","SHORT CAGE RT 56/58/60X48","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238429","SHORT CAGE RT 62/64X54","Non-IMS classified","SHORT CAGE RT 62/64X","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00712306254","SHORT CAGE RT 62/64X54","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238817","BIOLOX DELTA FEM HD28MM+0","Non-IMS classified","BIOLOX DELTA FEM HD","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00877502802","BIOLOX DELTA FEM HD28MM+0","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238818","BIOLOX DELTA FEM HD28MM+3.5","Non-IMS classified","BIOLOX DELTA FEM HD","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00877502803","BIOLOX DELTA FEM HD28MM+3.5","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238952","MRI LG RONGEUR,SERRATED TEETH","Non-IMS classified","MRI LG RONGEUR,SERRA","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998601027","MRI LG RONGEUR,SERRATED TEETH","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238976","MRI LONG OSTEO NS BLADE10MMX5""","Non-IMS classified","MRI LONG OSTEO NS BL","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998602126","MRI LONG OSTEO NS BLADE10MMX5""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238977","MRI LONG OSTEO NS BLADE 8MMX5""","Non-IMS classified","MRI LONG OSTEO NS BL","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998602127","MRI LONG OSTEO NS BLADE 8MMX5""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238978","MRI EXTRACTOR CASE MRIZ3","Non-IMS classified","MRI EXTRACTOR CASE M","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998603000","MRI EXTRACTOR CASE MRIZ3","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238979","MRI EXTRACTOR CASE BASE","Non-IMS classified","MRI EXTRACTOR CASE B","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998603001","MRI EXTRACTOR CASE BASE","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238983","MRI 1 PIECE STEM ADAPTER","Non-IMS classified","MRI 1 PIECE STEM ADA","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998603012","MRI 1 PIECE STEM ADAPTER","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238984","MRI CLOSED LOOP EXTRACTOR","Non-IMS classified","MRI CLOSED LOOP EXTR","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998603013","MRI CLOSED LOOP EXTRACTOR","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238985","MRI HOOK STEM EXTRACTOR","Non-IMS classified","MRI HOOK STEM EXTRAC","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998603014","MRI HOOK STEM EXTRACTOR","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238986","MRI SLAPHAMMER ADAPTER ASSY","Non-IMS classified","MRI SLAPHAMMER ADAPT","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998603015","MRI SLAPHAMMER ADAPTER ASSY","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238987","MRI TREPHINE CASE BASE","Non-IMS classified","MRI TREPHINE CASE BA","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604001","MRI TREPHINE CASE BASE","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238988","MRI TREPHINE CASE TRAY","Non-IMS classified","MRI TREPHINE CASE TR","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604002","MRI TREPHINE CASE TRAY","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238990","MRI T-HANDLE ZIMMERATTACHMT","Non-IMS classified","MRI T-HANDLE ZIMMER","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604011","MRI T-HANDLE ZIMMERATTACHMT","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238992","MRI WRENCH","Non-IMS classified","MRI WRENCH","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604013","MRI WRENCH","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238994","MRI NONSTERI TREPHINE 11.5X8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604015","MRI NONSTERI TREPHINE 11.5X8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238995","MRI NONSTERI TREPHINE 12MMX8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604016","MRI NONSTERI TREPHINE 12MMX8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238996","MRI NONSTERI TREPHINE 12.5X8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604017","MRI NONSTERI TREPHINE 12.5X8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238997","MRI NONSTERI TREPHINE 13MMX8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604018","MRI NONSTERI TREPHINE 13MMX8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238998","MRI NONSTERI TREPHINE 13.5X8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604019","MRI NONSTERI TREPHINE 13.5X8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023238999","MRI NONSTERI TREPHINE 14MMX8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604020","MRI NONSTERI TREPHINE 14MMX8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023239000","MRI NONSTERI TREPHINE 14.5X8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604021","MRI NONSTERI TREPHINE 14.5X8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023239001","MRI NONSTERI TREPHINE 15MMX8""","Non-IMS classified","MRI NONSTERI TREPHIN","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00998604022","MRI NONSTERI TREPHINE 15MMX8""","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023239032","ZMR SPOUT F BODY 46X55 EXTOFF","Non-IMS classified","ZMR SPOUT F BODY 46X","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00999102355","ZMR SPOUT F BODY 46X55 EXTOFF","Product : Full Tax","EA","NOT REQUIRED","E","1"
"0000102461","ZIMMER BIOMET (THAILAND) CO.,LTD","000000000023239040","ZMR SPOUT A BODY 40X45MM STD","Non-IMS classified","ZMR SPOUT A BODY 40X","Y","","00000000","LR","20460101","2902","10","ZF03","8H1","","102461000OID010000","","ZM00999701745","ZMR SPOUT A BODY 40X45MM STD","Product : Full Tax","EA","NOT REQUIRED","E","1"
